law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
"Mendoza & Mendoza, Inc., Attorneys at Law",http://dozalaw.com/,,,San Marcos,TX,Hays,512-757-8830,info@dozalaw.com,Criminal Defense,608 S Guadalupe St,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"Mendoza Law Offices, PLLC",https://www.dozalaw.com/,,,San Marcos,TX,Hays,512-757-8830,info@dozalaw.com,Criminal Defense,608 S Guadalupe St.,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"Michael J. Cosentino, Attorney at Law",,,,San Marcos,TX,Hays,979-218-3815,,Employment Law,2446 GREAT OAKS DR,78666,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
"Michael M. Lee, Esq.",,,,San Marcos,TX,Hays,512-375-0356,,Criminal Defense,P.O. Box 354,78667,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Michael Shulman - Attorney at Law,,,,San Marcos,TX,Hays,512-937-8020,,Criminal Defense,PO Box 1824,78667,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
NDS-Texas,,,,San Marcos,TX,Hays,737-335-6051,,Criminal Defense,1340 Wonder World Dr Ste 108,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Patricia K. Dolan-Galaviz,,,,San Marcos,TX,Hays,,,Civil Litigation,819 Belvin Street,78666,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
Paul Edward Supple,,,,San Marcos,TX,Hays,,,General,452 Stagecoach Trl,78666,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Richard Ursha, Attorney at Law",,,,San Marcos,TX,Hays,512-847-1717,,Criminal Defense,2401 Hunter Rd Ste 200,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Samuel J. Aguirre,,,,San Marcos,TX,Hays,,,General,630 E Hopkins St,78666,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Scanio and Scanio, P.C.",https://www.scaniolaw.com/,,,San Marcos,TX,Hays,512-396-2016,scanios@scaniolaw.com,General,144 E San Antonio St,78666,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Scot R. Courtney,https://www.scotcourtney.com/,,,San Marcos,TX,Hays,512-392-9292,,Criminal Defense,144 E San Antonio St,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Sergi and Associates P.C.,https://www.sergilaw.com/,,,San Marcos,TX,Hays,512-757-1570,,Criminal Defense,329 S Guadalupe St,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Shannon McCall Fitzpatrick,,,,San Marcos,TX,Hays,512-392-5203,,Criminal Defense,P.O. BOX 832,78667,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Simon Law Firm PLLC,,,,San Marcos,TX,Hays,830-542-9529,,Estate Planning,217 Trotting Bear Ln,78666,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Steven Arthur Wilson,,,,San Marcos,TX,Hays,,,General,"214 E. San Antonio St. , Apt. 207",78666,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Steven James Stacey,,,,San Marcos,TX,Hays,512-396-2016,,Criminal Defense,144 E San Antonio St,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
"Sundra L. Spears, Attorney at Law",,,,San Marcos,TX,Hays,512-757-6723,,General,102 Wonder World Dr Ste 304 PMB 707,78666,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Sylvia Ann Nieto-Salazar,,,,San Marcos,TX,Hays,,,General,236 Emerald Garden Rd,78666,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
The Carlson Law Firm,https://www.carlsonattorneys.com/,,,San Marcos,TX,Hays,254-526-5688,,Personal Injury,1310 Wonder World Dr. Ste 104,78666,Austin,5,2,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"The Erwin Law Firm, L.L.P.",https://theerwinlawfirm.com/,,,San Marcos,TX,Hays,512-938-1800,josh@theerwinlawfirm.com,Criminal Defense,109 E Hopkins St Ste 200,78666,Austin,5,2,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
The Law Office of David Hardaway,https://www.davidhardawaylaw.com/,,,San Marcos,TX,Hays,512-805-6613,,Criminal Defense,100 E San Antonio St Ste 100,78666,Austin,5,3,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
The Law Office of Meghan Fisher,,,,San Marcos,TX,Hays,512-686-6343,,Criminal Defense,714 Georgia Street,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
The Law Offices of John Green,https://www.johngreentxlaw.com/,,,San Marcos,TX,Hays,830-505-5082,,Criminal Defense,100 N Edward Gary St Ste A2,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
The Law Offices of Lance Turnbow,https://www.lanceturnbowlaw.com/,,,San Marcos,TX,Hays,512-392-4756,,Criminal Defense,401B S Lbj Dr Ste 8,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
The Law offices of Victorea D. Brown,https://sanmarcoslegal.com/,,,San Marcos,TX,Hays,512-754-9352,info@sanmarcoslegal.com,Criminal Defense,1920 Corporate Dr Ste B203,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"The Majors Law Firm, PLLC",http://www.majorslawfirm.com,,,San Marcos,TX,Hays,512-618-7227,info@majorslawfirm.com,Real Estate,410 Lamar Ave,78666,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"The Ray Law Firm, PC",,,,San Marcos,TX,Hays,512-789-5174,,Personal Injury,PO Box 185,78667,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
The Soechting Law Firm,https://www.soechtinglawfirm.com/,,,San Marcos,TX,Hays,512-396-2900,,Personal Injury,1905 Dutton Dr Unit A1 Ste A,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
The W. David Friesenhahn Law Firm PLLC,https://friesenhahnlaw.com/,,,San Marcos,TX,Hays,512-392-0756,,Criminal Defense,215 W San Antonio St Ste 2107,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
W. Paul Parash,,,,San Marcos,TX,Hays,512-353-0782,,Criminal Defense,PO Box 52,78667,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
William P. McNabb,,,,San Marcos,TX,Hays,512-353-2136,,Criminal Defense,144 E San Antonio St,78666,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Angela Marie Vorpahl,,,,Wimberley,TX,Hays,,,General,1205 Mt. Olive School Rd.,78676,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Bill Cline Law Office PC,http://www.billclinelaw.com/index.html,,,Wimberley,TX,Hays,512-970-6997,billclinejr@aol.com,Estate Planning,133 Lazy L Ln P O Box 2502,78676,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"David H. Morris, Attorney at Law",,,,Wimberley,TX,Hays,512-396-7525,,Estate Planning,PO Box 1343,78676,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
David W. Polise,,,,Wimberley,TX,Hays,832-541-7070,,General,120 Carrill Vaquero,78676,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Deanna Beth Altenhoff,,,,Wimberley,TX,Hays,512-476-4795,,General,13501 Ranch Road 12 Ste 103,78676,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Dinah Acord Weems,,,,Wimberley,TX,Hays,281-220-9356,,General,508 Cypress Creek Ln,78676,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
ELMA TERESA SALINAS ENDER PLLC,,,,Wimberley,TX,Hays,956-717-5809,,General,PO Box 967,78676,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Eddy James Rogers,https://eddyrogers.com/,,,Wimberley,TX,Hays,,erogers40@gmail.com,General,3101 Red Corral Ranch Road,78676,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Floreani Law Firm,http://www.floreanilaw.com/,,,Wimberley,TX,Hays,512-722-3692,floreanilaw@gmail.com,Estate Planning,13500 Ranch Road 12 Ste E,78676,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Gerald H. Klossner,,,,Wimberley,TX,Hays,512-954-5739,,General,PO Box 72,78676,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Gregory T. Kenney,,,,Wimberley,TX,Hays,,,Personal Injury,212 blanco drive,78676,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
"HARWOOD LAW FIRM, PLLC",,,,Wimberley,TX,Hays,713-668-7653,,Real Estate,160 Southriver,78676,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
"Jarden Legal Services, PLLC",,,,Wimberley,TX,Hays,512-757-5595,,Estate Planning,PO Box 2066,78676,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Jeff Weems,,,,Wimberley,TX,Hays,281-220-9355,,Civil Litigation,514 Cypress Creek Lane,78676,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
Jonna Kay Hamilton,,,,Wimberley,TX,Hays,512-897-9902,,General,501 Box Canyon Rd,78676,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
KLAW,,,,Wimberley,TX,Hays,,,Employment Law,1510 Sandy Point Rd,78676,Austin,3,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Karen Denice Poe,,,,Wimberley,TX,Hays,832-545-5035,,General,20 Woodcreek Dr,78676,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Law Office of Brent H Pulley,https://bhpulleylaw.com/,,,Wimberley,TX,Hays,214-949-9149,,Civil Litigation,26 Woodcreek Dr,78676,Austin,3,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Law Office of David Cohen,,,,Wimberley,TX,Hays,512-473-2111,,Civil Litigation,231 Blanco Dr,78676,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
"Law Office of Kathleen A Mendoza, PLLC",https://lawkam.com/,,,Wimberley,TX,Hays,512-722-3337,,Estate Planning,173 Fm 3237 Ste B,78676,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Law Office of Pat Rehmet,,,,Wimberley,TX,Hays,512-395-7320,,Estate Planning,PO Box 1916,78676,Austin,2,1,2026-09-13,State Bar of Texas Member Directory
Lee Rice Kenyon,,,,Wimberley,TX,Hays,512-618-2834,,General,285 E Summit Dr,78676,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Lucero | Wollam, P.L.L.C.",https://lucerowollam.com/,,,Wimberley,TX,Hays,512-485-3500,,Personal Injury,159 Flatrock,78676,Austin,5,3,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"Madrone Resources, LLC",,,,Wimberley,TX,Hays,281-659-3994,,General,10511 Ranch Road 12,78676,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Mark E. Cusack, P.C.",,,,Wimberley,TX,Hays,512-392-7700,,General,430 Savage Ln,78676,Austin,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"Mary J. Cureton, Attorney",,,,Wimberley,TX,Hays,972-529-0167,,General,688 Las Colinas Dr,78676,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
Mounger and Campbell LLP,https://www.attorneyscampbell.com/,,,Wimberley,TX,Hays,512-847-1308,,Estate Planning,303 Mesa Dr,78676,Austin,2,2,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website; manual verified search
"Newnam Land, LLP",https://www.wimberleyattorneys.com/,,,Wimberley,TX,Hays,512-938-3105,staff@wimberleyattorneys.com,Civil Litigation,PO Box 1709,78676,Austin,3,2,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Roland Brown Law Firm,https://rolandslaw.com/,,,Wimberley,TX,Hays,512-847-2500,roland@rolandslaw.com,Personal Injury,PO Box 278,78676,Austin,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Shelton Smith PC,,,,Wimberley,TX,Hays,,,General,PO Box 1180,78676,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Stephen Greenberg, Attorney at Law",,,,Wimberley,TX,Hays,512-799-5814,,Employment Law,PO Box 1932,78676,Austin,3,1,2026-09-13,State Bar of Texas Member Directory
Steven R. Brown,,,,Wimberley,TX,Hays,512-217-0257,,General,107 Henson Rd,78676,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
"Stevens & Malone, PLLC",https://www.stevensmalonelaw.com/,,,Wimberley,TX,Hays,512-847-9277,,Estate Planning,PO Box 727,78676,Austin,2,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
The Cornwell Law Firm,,,,Wimberley,TX,Hays,409-659-7788,,Personal Injury,900 N Rainbow Ranch Rd,78676,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
Weber Legal Services,,,,Wimberley,TX,Hays,512-497-7902,,General,913 University Rd 913 University Road,78676,Austin,4,1,2026-09-13,State Bar of Texas Member Directory
William Wood Meeks,,,,Wimberley,TX,Hays,,,Personal Injury,16 Meridian Dr,78676,Austin,5,1,2026-09-13,State Bar of Texas Member Directory
